,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
MKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLB,1074,1066,1074,1078,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,1603,0,0,0,0,0,0,0,0,0,0,0
MLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOB,1774,1752,1741,1904,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MQT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSN,72,1131,0,414,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP,3644,3120,3546,4204,5301,5642,6810,6379,6032,6057,6122,6115,5845,8748,7772,5187,4956,4344,5534,5652,5288,4208,3620,3487,3669
MSY,3627,5189,5041,5602,6231,5660,5014,4483,4324,4400,3994,4036,3835,5509,6073,6088,4738,4979,5008,4488,4090,4216,4115,3248,3696
MTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTJ,0,0,0,0,0,0,0,0,0,0,0,17,116,175,34,48,54,50,52,48,48,46,35,33,28
MVY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYR,613,516,604,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAK,1832,1803,1061,1184,1188,1146,1089,1108,1501,1542,1519,2219,2645,2311,1887,2043,1453,1438,1396,725,0,0,0,0,0
OGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGG,1017,722,705,698,699,702,730,731,730,616,365,426,1161,1802,1764,1887,1873,1375,1105,1052,1082,1127,1094,1148,1169
OKC,4687,4587,4473,4628,4673,4491,3551,1890,2651,2168,2399,2528,2151,4101,2643,1748,2072,2409,2516,2539,2531,2531,2533,2513,2488
OMA,3020,2544,2388,2437,2819,3335,2497,1435,1094,1095,1359,1458,1428,2435,2272,1407,1567,1619,1747,1748,1762,1765,1756,1744,1748
OME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONT,8901,6664,5904,5079,3788,2827,2605,1990,2019,2118,2060,1823,1778,2494,1983,1993,1849,1804,1766,1742,1680,1666,1451,1419,1433
ORD,90703,94255,93415,103636,112877,106497,109466,109291,110097,106413,107323,108801,105938,106086,94527,97143,85576,76896,75178,70550,60527,56486,53944,50363,51532
ORF,2423,2228,2891,2527,2000,1062,1092,1170,1092,941,1093,1097,1059,1990,1704,1057,1051,998,1058,792,710,789,802,786,716
ORH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBI,2643,2092,2202,2180,2026,2567,1691,1535,1851,1644,1722,1492,1407,1304,1680,2262,1708,1537,1358,1431,1272,1372,1340,1464,1659
PDX,6322,6089,5670,6245,4832,3040,2664,2504,2483,2373,2946,3387,2701,3271,2876,2770,2328,2508,2144,1993,1707,1659,1589,1472,1913
PFN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHL,6264,6654,7072,8351,8768,8909,8121,7666,8824,8545,7983,8028,7958,9839,8882,7485,7162,6416,6212,5575,5206,4666,3964,3781,3862
PHX,4831,4636,4149,5018,5224,5139,5969,6273,6380,6675,6610,7474,7721,7324,6140,5594,4992,5596,5648,5856,5297,5400,5266,4839,5162
PIA,0,0,29,583,510,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIE,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,3518,3458,3233,2589,2778,2475,1595,1221,1090,1094,1093,1096,1151,1319,1176,1578,1387,0,0,0,406,998,1333,1405,1602
PLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNS,0,0,685,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSE,0,0,0,0,226,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSP,1152,1334,1489,1315,1250,1297,1242,1234,1358,1433,1295,1311,1261,1244,1279,1389,1375,1323,1439,1480,1284,1331,1133,1122,1007
PUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVD,2739,2454,2429,2449,2481,2207,1395,1420,1238,1094,1305,1462,1458,1448,1481,1967,1492,355,0,0,0,0,0,0,0
PVU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDU,40561,40278,40598,39872,38470,30186,9299,5288,5752,5408,5610,5441,5350,8002,6384,5638,5448,5277,6304,5756,4137,3914,3896,3720,4382
RFD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIC,1069,1040,1923,2109,2072,1691,1092,1093,1092,942,1094,1096,1054,1767,1778,1045,1050,1062,1062,1041,1038,1046,1081,968,1049
RKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNO,6299,5363,3576,3505,1390,709,730,731,729,730,4167,7109,3571,2788,1712,2181,1684,1673,1457,1460,1223,1373,1302,1163,1169
ROA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROC,2823,2671,2420,2461,2319,2103,1781,1782,1780,1775,1760,1757,1689,1432,116,0,0,0,0,0,0,0,0,0,0
ROP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RST,1203,1172,1190,1228,1307,1374,1399,1403,1396,1400,1390,1427,1437,1434,870,114,0,0,0,0,0,0,0,0,0
RSW,2789,2554,2724,2553,1928,718,317,120,113,136,136,137,174,1256,1498,1477,1761,2035,2111,1980,1541,1558,1499,1750,2008
SAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN,6327,6899,7454,8211,7645,6023,5705,6056,5992,6239,7763,9004,8461,9264,7278,7275,7441,6962,6745,5952,5604,5078,5119,4882,5166
SAT,6070,5070,5307,5449,5642,5659,6067,5822,5791,5769,5864,5816,4957,6794,6678,5926,6840,6872,7135,6917,6237,6130,5984,5368,5244
SAV,2125,2090,2104,2042,1054,910,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBA,1062,791,712,718,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDF,1399,1220,1620,1512,1023,688,729,732,731,731,999,1097,1094,2150,2000,715,730,729,831,989,1040,1038,1031,957,677
SEA,6615,6526,6221,6978,6355,5044,5790,5364,5487,5184,6389,7796,6756,7084,6719,6883,6261,6217,5900,5441,5190,4976,4874,4987,5297
SFO,17796,12356,7183,7825,7824,8560,9149,9351,9545,10631,12404,15474,15137,14649,11982,12537,12734,12770,12743,12008,11453,11450,11018,10908,10813
SGF,0,0,0,0,0,0,0,0,0,0,0,0,0,1603,0,0,0,0,0,0,0,0,0,0,0
SGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV,1750,1619,1585,1576,853,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJC,24035,23429,25983,24273,14848,7191,5600,6338,6839,7039,11720,20965,22732,16779,9978,8929,6100,5358,4983,4380,3244,2809,2717,2286,2435
SJT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJU,11877,12008,12533,14309,15768,14132,14529,13385,13353,12946,13249,14224,15145,16902,15588,15642,14712,13991,12845,10209,6992,7743,6063,5333,4674
SLC,3875,3792,3086,3425,3500,3191,2919,2570,2319,2422,2184,2191,2142,2896,3092,2777,2437,2539,2511,2504,2509,1978,1810,1720,1640
SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMF,5222,4482,2928,3027,2636,2058,2056,1837,1700,1458,1457,1461,1438,2650,2395,2264,2034,1823,1807,1347,1296,1453,1448,1400,1433
SMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNA,10555,8328,7348,6370,7404,7077,5206,4865,4950,4913,7304,11294,9777,8324,6729,6441,5739,5770,6222,5937,4829,4827,4511,4339,4387
SOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPI,0,0,28,571,344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRQ,2318,1871,1767,1216,710,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STL,3593,3515,4465,4750,5062,4541,4079,4301,4288,4392,4170,4945,4467,93291,63562,19028,20234,20602,20041,18100,14480,11369,10602,9380,9095
STT,952,946,1357,1608,2066,1626,1558,924,1160,1155,1351,1371,1545,1497,1574,1623,1527,1477,1546,1400,1156,1135,1328,1328,1311
STX,929,677,1197,1632,1297,723,695,732,730,467,365,366,365,365,365,355,337,337,344,349,383,418,582,619,491
SUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF,0,1916,2749,2214,2137,2057,1260,1097,1249,1328,1366,1278,1192,724,0,0,0,0,0,0,0,0,0,0,0
SYR,3006,2873,2750,2708,2300,1863,1257,1108,1094,1094,1096,1095,1092,819,0,0,0,0,0,0,0,0,0,0,0
TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPA,4105,4914,4608,5583,6708,6085,3883,4230,3584,3504,4523,5499,5602,7654,6962,7283,7486,8040,7724,6852,6023,5943,6076,6074,6085
TRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUL,4956,4827,4673,5115,4719,4473,3827,2526,2696,2535,2794,3668,3869,4835,3837,3225,3329,2626,3288,3122,3063,2955,2915,2890,2877
TUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUS,3235,2962,2993,3058,3340,3565,3632,3598,3459,3534,3829,3955,3572,3611,3515,3681,4134,4069,3803,3541,3251,3209,3218,3113,3116
TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TVL,969,888,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TYS,0,0,0,0,0,0,0,0,0,0,0,609,730,598,0,0,0,0,0,0,0,0,0,0,0
UCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XNA,0,0,0,0,0,0,0,0,0,0,0,0,471,1046,1525,1108,1134,1230,1096,880,890,877,515,502,501
YAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
