,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COS,1286,1017,957,986,1287,1545,2001,2748,2907,2080,2718,3615,3154,3554,2544,1936,2085,2311,2049,2036,1954,1859,1779,1783,1725
COU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRP,2070,1748,1771,2009,1728,1054,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391
CRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVG,2496,2561,2392,2448,2353,1053,0,88,1093,1097,1089,1094,1089,900,0,0,0,0,0,0,0,0,0,0,0
CWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAB,1298,1290,1222,1747,1065,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,0,0,0,0,0,0,0,0,0,1461,3712,2262,2551,0,0,0,0,1910,362,0,0,0,0,0,0
DAY,1421,1738,1838,2418,2208,1068,866,985,727,731,728,732,696,1470,706,722,728,717,979,1037,767,676,685,948,1039
DBQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCA,6087,7121,8068,10766,11602,11949,11621,11274,12001,11802,11774,11658,10603,10862,11226,9999,10062,10066,10431,10295,10186,10368,10344,9366,10697
DEN,4337,4391,4989,6000,6127,6173,7321,6895,7144,7260,6792,8114,8870,10035,8963,8224,7859,8140,7899,7465,6380,5912,5061,5084,4887
DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFW,127860,129483,131662,142270,151971,158301,174467,173102,176181,169298,170930,172332,162093,154163,150988,161655,166831,163509,164776,160716,154666,154661,154725,152946,155204
DHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRO,0,0,0,0,0,17,102,109,105,110,112,118,99,0,0,0,0,0,0,0,0,0,0,0,0
DRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSM,3041,2422,2675,2845,2839,2006,1383,974,728,729,933,907,961,2377,1684,60,0,0,0,0,0,0,0,606,684
DTW,5628,5303,5323,5627,5790,6144,5341,4932,4817,5118,5229,5237,5600,7218,6770,5425,4867,4059,3969,3846,2850,2412,2440,2345,2387
DUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGE,0,34,213,231,406,336,403,524,839,811,722,781,708,680,719,715,714,751,884,864,767,855,873,881,805
EKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
