"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"233","MIA","67294","77388","73124","69628","73262","72351","70581","66838","64464","64934","66299","66914","75838","62837","61692","65251","65743","66153","64742","62559","64159","69556","77489","77650","82251"
"234","MIB","0","0","0","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","MKC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"236","MKE","24232","25201","22094","23336","19844","17808","17172","16256","15403","15270","15407","15411","17926","15190","20946","21699","21520","23374","28404","42700","44334","45128","43084","38115","35451"
"237","MKG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","396","0","693","751","729","729"
"238","MKK","0","0","0","0","0","0","0","0","0","1","0","0","0","0","61","227","0","0","0","0","0","0","0","0","0"
"239","MLB","4637","5725","4879","4784","4356","3692","3171","3295","2885","2411","1796","1452","1663","1338","2354","2754","3518","2262","2044","2002","1952","1896","1497","1430","1438"
"240","MLI","4306","3653","3240","3341","2608","2692","1641","1336","1530","1711","1884","1962","2030","1603","2722","4058","4920","6309","9516","8567","7939","6846","5563","4896","5981"
"241","MLU","2478","2487","2491","2515","2483","2353","2209","2529","2190","2188","2180","2154","1574","283","3509","3520","2081","2289","3094","2530","2326","2920","1742","2952","3353"
"242","MMH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","168","377","354"
"243","MOB","6961","8789","7884","7804","7305","5842","5378","4188","4370","4297","4311","4304","3323","2018","4949","5065","4551","5562","6171","6348","6721","6891","6334","5358","5738"
"244","MOD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1383","1410","1413","2351","3060","2325","1687","1723","1411","1299","1093"
"245","MOT","1909","1979","1761","1768","1600","1067","1091","1095","1091","1084","1092","1006","1093","1094","1104","1110","1108","1090","1080","1085","363","1291","2175","2592","3002"
"246","MQT","0","0","0","0","0","0","0","0","0","0","0","0","299","267","311","826","1017","983","1069","991","836","993","670","313","1240"
"247","MRY","2157","2244","1185","1126","1375","1357","1205","731","724","722","717","341","2319","1803","7437","7289","7225","8188","8768","7607","6113","5614","5515","5808","5554"
"248","MSN","6072","7146","5702","7777","5532","4151","4640","4428","4526","4613","4567","3976","6374","6244","7583","8696","9980","12945","13416","13961","12846","9952","8070","9207","11945"
"249","MSO","2504","2481","2503","2384","2503","1907","1822","1829","1824","1823","2144","1865","1912","1896","3268","4536","4519","4057","3807","3256","3143","3265","3162","3109","3223"
"250","MSP","99072","102298","106515","115258","120572","123222","136436","141924","138087","136693","143419","147284","142507","141540","144836","146935","137393","126498","155846","130289","120080","125802","104300","110567","146815"
"251","MSY","40689","45439","40479","40100","41899","48055","49179","47132","47701","49983","49391","51199","51055","49371","52334","53167","40499","29899","37329","39422","35968","38274","38326","38029","43344"
"252","MTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128","0","0","0","0","0","0"
"253","MTJ","0","0","0","2","11","18","45","61","156","202","300","198","263","334","2188","2518","2728","2708","2606","2419","2548","2414","2211","1687","1245"
"254","MVY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","122","221"
"255","MWH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403","272","0","0","0"
"256","MYR","4241","3462","3302","2318","2303","2472","2720","2449","2271","2408","2159","2745","2869","2563","5565","7849","7201","7088","6764","5335","4556","4074","3266","3664","4083"
"257","OAJ","1264","1064","1024","1024","1020","1033","369","0","0","0","0","0","0","0","0","0","0","62","1134","1184","1579","1463","1684","1774","1822"
"258","OAK","28156","36437","40122","36640","39516","44314","65541","60898","58734","56002","55489","57103","62763","61533","67279","70850","70381","74794","74938","62535","49856","47076","45335","45855","44276"
"259","OGD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0","0","0","0","0","0","0"
"260","OGG","3278","3004","2954","2952","2689","2695","2609","2769","2914","3011","3047","5621","14665","3929","6274","13735","14632","23923","25515","19940","20737","20658","20044","23952","23198"
"261","OKC","23783","24148","24664","24789","24389","23498","22077","20461","20747","20092","20247","19878","21780","19889","23844","22465","20643","22003","26964","25152","22003","21952","21163","21529","23400"
"262","OMA","17566","17046","17501","15654","16171","16707","18215","18313","17501","16639","16894","17262","18744","17586","20355","21353","22910","23066","28081","27007","25644","24894","21333","19324","22308"
"263","OME","947","994","1008","1008","973","956","1013","988","951","934","923","940","1010","1082","1074","1045","1095","1093","1088","1090","1086","1083","1081","1082","955"
"264","ONT","36306","36898","38606","37281","36430","36844","40062","37667","36479","35410","34751","35722","35682","32899","35459","36483","35953","36311","41643","35072","25528","24519","23856","22183","21150"
"265","ORD","261259","269128","263145","275185","286055","277741","293422","296234","297490","294896","298251","296771","341284","327388","366705","376170","337708","373736","375784","350380","314690","313399","313589","310778","306439"
"266","ORF","24334","25814","22611","19495","18831","25436","18198","17123","16781","16321","15954","15983","18512","18604","22365","24013","22046","20162","20012","16458","15263","16053","14460","14476","16630"
"267","ORH","2951","2372","1696","1903","648","0","0","0","0","0","0","0","997","284","0","0","0","0","0","0","0","0","0","0","109"
"268","OTH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","515","1374","1331","1209","804","575"
"269","OTZ","875","901","926","1013","976","956","1022","935","936","894","890","882","977","1080","1072","1023","1089","1087","1086","1086","1083","1082","1039","1071","955"
"270","OXR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1750","1755","1721","1608","1358","1292","1175","452","0","0","0"
"271","PAH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","647","731","732","729"
"272","PBI","26082","27171","24171","25832","25054","24079","22558","21803","22520","22025","22016","22995","25969","21206","25165","27545","28425","28305","29766","27822","25762","25910","24805","23462","22283"
"273","PDX","40776","41897","37742","37365","35907","38064","48049","53676","55615","55741","56978","57253","55092","50635","55450","55807","55254","57757","58603","57860","52285","52785","52830","53395","53674"
"274","PFN","15","0","803","1071","1241","1289","1320","0","0","0","0","0","0","0","3242","3231","2886","2577","3468","3875","3824","1566","0","0","0"
