"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"33","BET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","BFF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","BFI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","BFL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","BGM","1684","2131","1899","1495","1378","1432","1422","1378","1171","1046","1035","796","376","0","0","0","0","0","0","0","0","0","0","0","0"
"38","BGR","0","0","0","0","0","279","259","164","161","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"39","BHM","1579","2089","2114","1900","2049","2083","2369","2222","2035","1822","2218","1779","1758","1411","119","114","471","1","3","3","0","0","70","0","0"
"40","BIL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","BIS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","BJI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","BKG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","BLI","1064","1060","354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","BMI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","BNA","3060","3789","3499","2997","2539","2849","4038","4604","5016","4952","4797","4994","4705","3586","2720","2932","2450","1433","1565","1409","1206","1070","1113","1196","1260"
"47","BOI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","536","677","679","728","728","733","777","861"
"48","BOS","17995","24555","24954","29348","30243","31607","28084","27865","27407","27308","29222","32213","27597","21792","18434","20002","20651","21271","20867","19676","19024","18923","18843","18680","18299"
"49","BPT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","BQK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","BQN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","BRD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","BRO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","BRW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","BTM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","BTR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","BTV","3507","3555","3256","3388","1826","2013","2181","2165","2066","1807","1807","1830","1793","1815","366","366","910","533","187","0","0","0","0","0","23"
"58","BUF","12583","13600","13173","13557","12289","12526","9825","8521","8447","8530","8771","8463","6905","4760","3482","3730","3788","2879","2372","2376","2091","1971","1944","1565","1336"
"59","BUR","9653","9874","2483","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1071","1303","616","348","676","429","153","0"
"60","BWI","23043","51079","44460","31152","29868","36894","34998","29940","26397","25406","27539","28505","25289","7769","5028","5354","4789","4788","4515","4442","4382","4379","4556","4668","4659"
"61","BZN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","CAE","1373","3642","2819","2470","2250","2153","2379","2437","2037","2043","1976","2112","1111","0","0","0","0","0","0","0","0","0","0","0","0"
"63","CAK","436","1309","1800","1910","1416","1502","1574","1087","1067","1075","1018","1052","790","0","0","0","0","0","0","0","0","0","0","0","0"
"64","CCR","1285","1303","214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","CDC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","CDV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","CEC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","CHA","287","817","1267","1271","1303","1060","1073","1368","1359","1089","1007","1075","829","0","0","0","0","0","0","0","0","0","0","0","0"
"69","CHO","671","1856","1206","378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","CHS","1633","4574","4360","3307","3135","4096","3834","3267","3124","2872","2760","2917","2778","2317","1731","1883","2661","826","1030","718","344","581","231","225","451"
"71","CIC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","CID","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","CIU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","CKB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","CLD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","CLE","17780","19489","11621","8754","8328","10098","6846","6331","5276","5108","4761","5111","3625","1513","497","366","477","1011","768","968","490","459","659","653","703"
"77","CLL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","CLT","42534","106828","115738","117220","111022","121542","123312","121018","117578","113318","107987","117438","115347","99843","83446","84486","87742","67977","74295","78127","77099","82247","83290","86319","90092"
"79","CMH","6406","7327","7476","8538","9050","11620","8556","7584","7529","7539","8060","7202","5382","3029","1962","2416","2933","2495","2223","1245","752","716","791","710","805"
"80","CMI","437","1076","1080","607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","CMX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","COD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","COS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","COU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","CPR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","CRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","CRW","2525","3179","2757","2566","2437","2456","2031","1658","1707","1649","1319","1146","827","0","0","0","0","0","0","0","0","0","0","0","0"
"88","CSG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","CVG","3393","3983","3778","4401","3158","2758","2290","1166","701","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"90","CWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","CYS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","DAB","432","1198","1551","1527","1196","1201","1453","1108","738","0","0","0","0","0","0","0","0","0","0","23","17","13","17","17","7"
"93","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","DAY","12198","27101","25512","7297","6541","7030","5666","4745","4167","3732","3700","3788","2769","1344","0","0","0","0","0","0","0","0","0","0","0"
"95","DBQ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","DCA","18850","25225","25361","27776","31349","32856","32279","30937","32362","32490","30625","34147","30020","22890","23347","26664","39612","30508","27018","25100","22820","21866","20533","19988","19752"
"97","DEN","1625","2534","2011","2026","1690","1993","2475","2340","2476","2587","2690","3208","3606","3398","3628","3508","2992","5643","4546","3685","4326","4505","4632","4825","4807"
"98","DET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","DFW","2041","3450","3242","3401","3552","3212","2877","3487","3871","3854","3708","3958","3884","3824","3315","3716","5308","6068","6664","5863","6304","7185","7252","6430","6743"
"100","DHN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","DIK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","DLG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","DLH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","DRO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","DRT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","DSM","0","0","679","585","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","129"
"107","DTW","4546","6236","5879","5751","6076","5813","4721","4972","5326","5180","5038","4407","4424","3066","1629","814","1392","3006","2981","2795","2703","2812","3144","3303","3648"
"108","DUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","EAU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","ECP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","EFD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","EGE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","46","31","25","22","13","0","0","0","0","0"
"113","EKO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","ELM","1748","1533","1429","1385","1382","1438","1392","1321","1332","1325","1306","1406","966","0","0","0","0","0","0","0","0","0","0","0","0"
"115","ELP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","975","963","720","469","2","44","2","0"
"116","ERI","2121","1919","1804","1565","1426","1428","1454","1425","1405","1402","1371","1440","1454","20","0","0","0","0","0","0","0","0","0","0","0"
"117","ESC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","EUG","713","569","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","EVV","1844","2173","1808","1264","1285","1172","709","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","EWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","EWR","15096","22176","20048","22371","19963","19141","7571","5060","5324","5203","4896","5254","5661","4780","3672","3592","3317","3814","3389","3579","3854","3908","3890","4299","4405"
"122","EYW","854","2106","349","0","0","0","0","0","0","0","0","0","0","0","0","0","159","126","0","0","0","0","0","0","0"
"123","FAI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","FAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","FAT","1290","1160","153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","209","134","231","107","137","0","0","0"
"126","FAY","1008","2297","1906","1793","2058","2171","2188","2271","1829","1470","1412","1414","532","0","0","0","0","0","0","0","0","0","0","0","0"
"127","FCA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","0"
"128","FLG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","FLL","5641","9565","8566","8118","9015","9529","8828","8246","8412","7954","9281","10932","10698","6388","6854","7170","9601","8954","8005","7430","6787","6334","6420","6314","6262"
"130","FLO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","FMN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","FNT","428","1081","1076","869","721","713","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","FOE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","FSD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","FSM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","FWA","426","1080","1078","1036","995","1009","1228","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","GCC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","GCK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","GCN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","GEG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","609","719","717","729","742","706","689","654"
"141","GFK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","GGG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","GJT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","GLH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","GNV","844","2090","1291","1384","1048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","GPT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","GRB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","GRI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","GRK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","GRR","1598","2260","2134","1739","1627","1629","1544","1537","1438","1357","1039","1042","553","0","0","0","0","0","0","0","0","0","0","0","0"
"151","GSO","5898","11820","9551","8413","7853","10473","9341","7046","6733","6406","5691","5796","4995","4016","2359","2197","1056","15","1","0","0","0","8","0","179"
"152","GSP","1178","2784","3606","3376","3039","4017","3871","3572","2919","2760","2742","2713","1624","0","0","0","0","0","0","0","0","0","0","0","0"
"153","GST","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","GTF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","GTR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","GUC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","GUM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","HDN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","HHH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","HIB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","HKY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","HLN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","HNL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","564","470","548","579","835","763","798","816"
"164","HOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","HOU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166","HPN","0","0","0","672","996","1071","1208","848","675","584","662","691","679","307","0","0","0","0","0","0","0","0","0","0","0"
"167","HRL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168","HSV","0","0","435","1073","1034","1033","1237","1351","1340","1327","1314","1107","580","0","0","0","0","0","0","0","0","0","0","0","0"
"169","HTS","1446","1824","1579","1251","1292","1330","615","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170","HVN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"171","IAD","1767","2514","2927","2733","3709","3366","4695","6743","5347","6630","21117","13968","4392","2081","1656","1436","1556","2069","1647","1075","351","240","152","0","6"
"172","IAH","3312","4882","3729","3403","3257","3468","2923","2726","3003","3622","3735","3990","3888","3543","3239","3299","3472","2131","1467","1924","2837","3553","4082","5507","5630"
"173","ICT","1053","1070","805","531","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"174","IDA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","ILE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176","ILG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
